village_officer_domain,village_officer_domain_no,house_address,nic,gender,district
Addalachchenai 10,AD/33B,90/D,818064,M,ampara
Addalachchenai 10,AD/33B,111/B,872210,F,ampara
Addalachchenai 10,AD/33B,148,491193,M,ampara
Addalachchenai 10,AD/33B,161/A,679685,F,ampara
Addalachchenai 10,AD/33B,169,228709,M,ampara
Addalachchenai 10,AD/33B,172,200209,F,ampara
Addalachchenai 10,AD/33B,181,584587,F,ampara
Addalachchenai 10,AD/33B,185/B,219176,M,ampara
Addalachchenai 10,AD/33B,218,830641,F,ampara
Addalachchenai 10,AD/33B,238,258899,M,ampara
Addalachchenai 10,AD/33B,243,197023,M,ampara
Addalachchenai 02,AD/31,40,260303,F,ampara
Addalachchenai 02,AD/31,40/C,599180,F,ampara
Addalachchenai 02,AD/31,81/A,973068,M,ampara
Addalachchenai 02,AD/31,124,215263,F,ampara
Addalachchenai 02,AD/31,128/A,457504,F,ampara
Addalachchenai 02,AD/31,157/A,146386,F,ampara
Addalachchenai 11,AD/31A,96,129906,M,ampara
Addalachchenai 11,AD/31A,128,350216,F,ampara
Addalachchenai 11,AD/31A,143,742540,M,ampara
Addalachchenai 11,AD/31A,149/A,623703,F,ampara
Addalachchenai 11,AD/31A,172,551259,M,ampara
Addalachchenai 11,AD/31A,173,697330,F,ampara
Addalachchenai 11,AD/31A,238,25318,F,ampara
Addalachchenai 11,AD/31A,238/B,357709,M,ampara
Addalachchenai 11,AD/31A,234/A,327550,M,ampara
Addalachchenai 03,AD/30A,36/A,643997,M,ampara
Addalachchenai 03,AD/30A,39/C,220949,M,ampara
Addalachchenai 03,AD/30A,82/A,225503,M,ampara
Addalachchenai 03,AD/30A,82/A,715575,F,ampara
Addalachchenai 03,AD/30A,146/A,161166,M,ampara
Addalachchenai 12,AD/30A/1,41/A,656276,F,ampara
Addalachchenai 12,AD/30A/1,50/A,895152,M,ampara
Addalachchenai 12,AD/30A/1,60,296796,F,ampara
Addalachchenai 12,AD/30A/1,75/A,698557,F,ampara
Addalachchenai 12,AD/30A/1,100,229696,F,ampara
Addalachchenai 12,AD/30A/1,152,651368,M,ampara
Addalachchenai 12,AD/30A/1,163/B,853811,F,ampara
Addalachchenai 13,AD/30D,52,259624,M,ampara
Addalachchenai 13,AD/30D,63,34703,F,ampara
Addalachchenai 13,AD/30D,71,545473,M,ampara
Addalachchenai 13,AD/30D,97,415052,M,ampara
Addalachchenai 13,AD/30D,103,619076,F,ampara
Addalachchenai 13,AD/30D,154/A,465268,F,ampara
Addalachchenai 13,AD/30D,231/A,517730,F,ampara
Addalachchenai 13,AD/30D,259/A,567453,M,ampara
Addalachchenai 13,AD/30D,283,52549,M,ampara
Addalachchenai 13,AD/30D,344,997326,F,ampara
Addalachchenai 13,AD/30D,349,161618,M,ampara
Addalachchenai 13,AD/30D,368,811906,M,ampara
Addalachchenai 13,AD/30D,369/A,496266,F,ampara
Addalachchenai 04,AD/30,102,304314,F,ampara
Addalachchenai 04,AD/30,132,817027,F,ampara
Addalachchenai 04,AD/30,135/B,381394,M,ampara
Addalachchenai 04,AD/30,148,119507,M,ampara
Addalachchenai 04,AD/30,160/A,919172,M,ampara
Addalachchenai 04,AD/30,206,477943,M,ampara
Addalachchenai 04,AD/30,205/B,557487,F,ampara
Addalachchenai 05,AD/30B,27,512513,F,ampara
Addalachchenai 05,AD/30B,31/B,336877,M,ampara
Addalachchenai 05,AD/30B,61/A,784035,M,ampara
Addalachchenai 05,AD/30B,87/A,976923,M,ampara
Addalachchenai 05,AD/30B,90/A,622972,F,ampara
Addalachchenai 05,AD/30B,40,280312,M,ampara
Addalachchenai 05,AD/30B,91/A,362168,F,ampara
Addalachchenai 05,AD/30B,26,631477,M,ampara
Addalachchenai 05,AD/30B,63/A,3139,F,ampara
Addalachchenai 14,AD/30E,2/E,838743,F,ampara
Addalachchenai 14,AD/30E,91/A,770735,M,ampara
Addalachchenai 14,AD/30E,101,860022,F,ampara
Addalachchenai 14,AD/30E,104,482996,M,ampara
Addalachchenai 14,AD/30E,108,907332,M,ampara
Addalachchenai 14,AD/30E,137,310472,M,ampara
Addalachchenai 14,AD/30E,141/B,8477,F,ampara
Addalachchenai 14,AD/30E,164,722433,M,ampara
Addalachchenai 15,AD/30B/1,39,562622,M,ampara
Addalachchenai 15,AD/30B/1,46,371067,M,ampara
Addalachchenai 15,AD/30B/1,60,291540,F,ampara
Addalachchenai 15,AD/30B/1,66/B,829982,M,ampara
Addalachchenai 15,AD/30B/1,85,124800,M,ampara
Addalachchenai 15,AD/30B/1,86/A,932701,M,ampara
Addalachchenai 15,AD/30B/1,86/C,439811,M,ampara
Addalachchenai 15,AD/30B/1,97/B,765462,M,ampara
Addalachchenai 15,AD/30B/1,111,385799,M,ampara
Addalachchenai 15,AD/30B/1,125/A,143322,M,ampara
Addalachchenai 15,AD/30B/1,135/B,626712,M,ampara
Addalachchenai 15,AD/30B/1,166,390714,F,ampara
Addalachchenai 15,AD/30B/1,204/C,576159,M,ampara
Addalachchenai 15,AD/30B/1,204/F,108685,F,ampara
Addalachchenai 15,AD/30B/1,213,473502,F,ampara
Addalachchenai 15,AD/30B/1,262,552440,M,ampara
Addalachchenai 15,AD/30B/1,263,95520,F,ampara
Addalachchenai 16,AD/30B/2,37/A,517594,M,ampara
Addalachchenai 16,AD/30B/2,90/A,92227,F,ampara
Addalachchenai 16,AD/30B/2,92/A,18747,M,ampara
Addalachchenai 16,AD/30B/2,100/G,192295,M,ampara
Addalachchenai 16,AD/30B/2,107/A,442316,F,ampara
Addalachchenai 16,AD/30B/2,125/C,221742,M,ampara
Addalachchenai 16,AD/30B/2,159/A,146719,M,ampara
Addalachchenai 16,AD/30B/2,175/C,336913,F,ampara
Addalachchenai 16,AD/30B/2,200/B/1,714574,F,ampara
Addalachchenai 16,AD/30B/2,201/A,123794,M,ampara
Addalachchenai 16,AD/30B/2,227/B,258590,F,ampara
Addalachchenai 09,AD/33A,10/A,181018,M,ampara
Addalachchenai 09,AD/33A,43/B,45140,M,ampara
Addalachchenai 09,AD/33A,46,192755,M,ampara
Addalachchenai 09,AD/33A,62,45522,F,ampara
Addalachchenai 09,AD/33A,76,533897,F,ampara
Addalachchenai 09,AD/33A,80,364016,M,ampara
Addalachchenai 09,AD/33A,122/B,336011,M,ampara
Addalachchenai 09,AD/33A,134/E,636767,F,ampara
Addalachchenai 09,AD/33A,160,712647,F,ampara
Addalachchenai 09,AD/33A,168,544429,F,ampara
Addalachchenai 09,AD/33A,214,309582,M,ampara
Addalachchenai 08,AD/30C/2,16/B,52590,F,ampara
Addalachchenai 08,AD/30C/2,46,158221,M,ampara
Addalachchenai 08,AD/30C/2,60,112158,M,ampara
Addalachchenai 08,AD/30C/2,79/B,841929,F,ampara
Addalachchenai 08,AD/30C/2,85,729445,F,ampara
Addalachchenai 08,AD/30C/2,99/D,937467,M,ampara
Addalachchenai 08,AD/30C/2,103/A,713373,M,ampara
Addalachchenai 08,AD/30C/2,122/A,694067,M,ampara
Addalachchenai 08,AD/30C/2,137/A,169610,M,ampara
Addalachchenai 08,AD/30C/2,140/C,528318,M,ampara
Addalachchenai 08,AD/30C/2,143/A,426553,F,ampara
Addalachchenai 08,AD/30C/2,149/A,619685,F,ampara
Addalachchenai 08,AD/30C/2,171/B,506220,M,ampara
Addalachchenai 08,AD/30C/2,208,928408,F,ampara
Addalachchenai 08,AD/30C/2,261,941247,F,ampara
Addalachchenai 08,AD/30C/2,272/C,686795,M,ampara
Addalachchenai 08,AD/30C/2,283,955788,M,ampara
Addalachchenai 08,AD/30C/2,387/B,353457,M,ampara
Addalachchenai 08,AD/30C/2,343,498055,F,ampara
Addalachchenai 06,AD/30C,25/D,26424,F,ampara
Addalachchenai 06,AD/30C,56,514392,F,ampara
Addalachchenai 06,AD/30C,59,606417,M,ampara
Addalachchenai 06,AD/30C,69/B,366361,M,ampara
Addalachchenai 06,AD/30C,124/A,955567,M,ampara
Addalachchenai 06,AD/30C,176/B,99433,F,ampara
Addalachchenai 06,AD/30C,200/A,667616,M,ampara
Addalachchenai 06,AD/30C,215,701921,M,ampara
Addalachchenai 06,AD/30C,226/B,600181,M,ampara
Addalachchenai 06,AD/30C,228,57816,F,ampara
Addalachchenai 06,AD/30C,243/C,583606,M,ampara
Addalachchenai 06,AD/30C,248/G,348726,M,ampara
Addalachchenai 06,AD/30C,251/1,407294,M,ampara
Addalachchenai 06,AD/30C,258,788181,M,ampara
Addalachchenai 06,AD/30C,261/A,452636,M,ampara
Addalachchenai 06,AD/30C,267,362066,M,ampara
Addalachchenai 06,AD/30C,287,400888,M,ampara
Addalachchenai 06,AD/30C,322/A,52693,M,ampara
Addalachchenai 06,AD/30C,323,398827,M,ampara
Addalachchenai 07,AD/30C/1,1-Sep,463814,M,ampara
Addalachchenai 07,AD/30C/1,5-Sep,912864,F,ampara
Addalachchenai 07,AD/30C/1,10,343461,F,ampara
Addalachchenai 07,AD/30C/1,27,959561,M,ampara
Addalachchenai 07,AD/30C/1,54/1,328124,M,ampara
Addalachchenai 07,AD/30C/1,79,387257,M,ampara
Addalachchenai 07,AD/30C/1,120,749513,F,ampara
Ninthavur 01,41,1/D,129362,M,ampara
Ninthavur 01,41,22,555937,M,ampara
Ninthavur 01,41,100/1,563900,M,ampara
Ninthavur 01,41,136/B,739725,F,ampara
Ninthavur 01,41,140/A,150993,F,ampara
Ninthavur 01,41,174,399248,M,ampara
Ninthavur 01,41,176/B/B,192065,M,ampara
Ninthavur 01,41,227,728955,F,ampara
Ninthavur 01,41,245/A,503095,M,ampara
Ninthavur 01,41,246/B,467229,F,ampara
Ninthavur 01,41,248,598567,M,ampara
Ninthavur 11,41A,6,475438,F,ampara
Ninthavur 11,41A,7,508942,F,ampara
Ninthavur 11,41A,11/A/1,682774,M,ampara
Ninthavur 11,41A,13,107618,M,ampara
Ninthavur 11,41A,13/1,317154,F,ampara
Ninthavur 11,41A,28/A,80847,M,ampara
Ninthavur 11,41A,42,673183,F,ampara
Ninthavur 11,41A,42/1,884929,M,ampara
Ninthavur 11,41A,52/B,21330,F,ampara
Ninthavur 11,41A,94,873031,M,ampara
Ninthavur 11,41A,97/C,73671,M,ampara
Ninthavur 11,41A,120,925403,F,ampara
Ninthavur 11,41A,122,627836,F,ampara
Ninthavur 11,41A,141/A,587940,F,ampara
Ninthavur 11,41A,206/A,990669,M,ampara
Ninthavur 11,41A,233,634604,M,ampara
Ninthavur 11,41A,240/1,974126,F,ampara
Ninthavur 12,41B,31/A,778278,M,ampara
Ninthavur 12,41B,56/A,528219,M,ampara
Ninthavur 12,41B,74,94304,M,ampara
Ninthavur 12,41B,79/2,575385,F,ampara
Ninthavur 12,41B,212,311190,F,ampara
Ninthavur 12,41B,221/A,840665,F,ampara
Ninthavur 12,41B,236/1,472600,M,ampara
Ninthavur 12,41B,241,239813,F,ampara
Ninthavur 02,40,11/B,186119,F,ampara
Ninthavur 02,40,32,808602,F,ampara
Ninthavur 02,40,52,515108,F,ampara
Ninthavur 02,40,92/E,686143,M,ampara
Ninthavur 02,40,105,546215,F,ampara
Ninthavur 02,40,118/A/2,597137,F,ampara
Ninthavur 02,40,134/A,890420,M,ampara
Ninthavur 02,40,148/A,489903,F,ampara
Ninthavur 02,40,201/A,684026,F,ampara
Ninthavur 02,40,206/A,286439,F,ampara
Ninthavur 02,40,208/A,712649,M,ampara
Ninthavur 03,39,23,374652,M,ampara
Ninthavur 03,39,50,708594,F,ampara
Ninthavur 03,39,182,808417,F,ampara
Ninthavur 03,39,202,519151,M,ampara
Ninthavur 03,39,209,750184,M,ampara
Ninthavur 03,39,249/B,214900,M,ampara
Ninthavur 03,39,337,1079,F,ampara
Ninthavur 03,39,357/2,192363,F,ampara
Ninthavur 03,39,394,272836,M,ampara
Ninthavur 03,39,397,873233,M,ampara
Ninthavur 03,39,459,165502,F,ampara
Ninthavur 03,39,533,932710,M,ampara
Ninthavur 03,39,534,364110,F,ampara
Ninthavur 03,39,663/A,796551,M,ampara
Ninthavur 03,39,722,418415,M,ampara
Ninthavur 03,39,724,596864,F,ampara
Ninthavur 03,39,733,372360,F,ampara
Ninthavur 04,38,35,924187,F,ampara
Ninthavur 04,38,54,188826,M,ampara
Ninthavur 04,38,61/1,676847,M,ampara
Ninthavur 04,38,89,969717,F,ampara
Ninthavur 04,38,125,512540,M,ampara
Ninthavur 04,38,132/1,740529,M,ampara
Ninthavur 04,38,157,24843,M,ampara
Ninthavur 04,38,227,32006,F,ampara
Ninthavur 04,38,285/1,524867,F,ampara
Ninthavur 04,38,327,921964,M,ampara
Ninthavur 04,38,457,806202,M,ampara
Ninthavur 04,38,488,385364,M,ampara
Ninthavur 04,38,504,560101,F,ampara
Ninthavur 04,38,526,551103,F,ampara
Ninthavur 05,37,16,560845,F,ampara
Ninthavur 05,37,32/2,843356,M,ampara
Ninthavur 05,37,105/A,547945,F,ampara
Ninthavur 05,37,133,667403,M,ampara
Ninthavur 05,37,142,439985,M,ampara
Ninthavur 05,37,155,117531,F,ampara
Ninthavur 05,37,202,300490,F,ampara
Ninthavur 05,37,220/1,462329,F,ampara
Ninthavur 05,37,262,463519,F,ampara
Ninthavur 05,37,281/3,629170,M,ampara
Ninthavur 05,37,305/1,327919,F,ampara
Ninthavur 05,37,308/A,620379,M,ampara
Ninthavur 05,37,338,936262,F,ampara
Ninthavur 05,37,416,357693,F,ampara
Ninthavur 06,38A,41,211712,M,ampara
Ninthavur 06,38A,67/1,464414,F,ampara
Ninthavur 06,38A,127,642757,M,ampara
Ninthavur 06,38A,138,926365,M,ampara
Ninthavur 06,38A,200/1,759790,M,ampara
Ninthavur 06,38A,204/7/1,675831,M,ampara
Ninthavur 06,38A,214/4,549709,F,ampara
Ninthavur 06,38A,218/1,147031,M,ampara
Ninthavur 06,38A,222,534321,M,ampara
Ninthavur 06,38A,253/1,656585,F,ampara
Ninthavur 06,38A,273,968289,M,ampara
Ninthavur 07,37A,8/A,475417,M,ampara
Ninthavur 07,37A,15/B,306149,F,ampara
Ninthavur 07,37A,22,880646,M,ampara
Ninthavur 07,37A,38/A,648566,F,ampara
Ninthavur 07,37A,99/C,529677,F,ampara
Ninthavur 07,37A,101/C,915440,M,ampara
Ninthavur 07,37A,105,134443,F,ampara
Ninthavur 07,37A,149/A,821145,M,ampara
Ninthavur 07,37A,168,324094,M,ampara
Ninthavur 07,37A,207,170248,F,ampara
Ninthavur 07,37A,218,457630,M,ampara
Ninthavur 07,37A,267,713423,F,ampara
Ninthavur 07,37A,268,62759,M,ampara
Ninthavur 07,37A,380/D,195536,F,ampara
Ninthavur 08,37B,21/A,219244,F,ampara
Ninthavur 08,37B,21/B,847291,F,ampara
Ninthavur 08,37B,47/D,943915,F,ampara
Ninthavur 08,37B,51/A,530242,F,ampara
Ninthavur 08,37B,53/C,73411,M,ampara
Ninthavur 08,37B,57/A,341172,F,ampara
Ninthavur 08,37B,61/A/1,494831,M,ampara
Ninthavur 08,37B,83/A,135892,M,ampara
Ninthavur 08,37B,88,877849,M,ampara
Ninthavur 08,37B,90/A/1,52956,M,ampara
Ninthavur 08,37B,143/A,173587,M,ampara
Ninthavur 08,37B,153,964764,F,ampara
Ninthavur 08,37B,200,311868,M,ampara
Ninthavur 08,37B,266/1,268089,M,ampara
Ninthavur 08,37B,271/C,414778,M,ampara
Ninthavur 08,37B,284/C,908026,F,ampara
Ninthavur 09,37C,41/B,68236,F,ampara
Ninthavur 09,37C,91,721326,M,ampara
Ninthavur 09,37C,92/A,859061,F,ampara
Ninthavur 09,37C,95/B,230559,F,ampara
Ninthavur 09,37C,99,135950,M,ampara
Ninthavur 09,37C,122/A,220492,F,ampara
Ninthavur 09,37C,157/A,248819,M,ampara
Ninthavur 09,37C,285/4/1,68442,M,ampara
Ninthavur 09,37C,287/1,579661,F,ampara
Ninthavur 09,37C,339/2,692922,M,ampara
Ninthavur 09,37C,345/7/A,273593,M,ampara
Ninthavur 09,37C,345/65,296611,M,ampara
Ninthavur 09,37C,345/68,325302,F,ampara
Ninthavur 13,40A,26,9114,M,ampara
Ninthavur 13,40A,31/A,215517,F,ampara
Ninthavur 13,40A,60,853178,F,ampara
Ninthavur 13,40A,60/A,812354,M,ampara
Ninthavur 13,40A,93,873831,M,ampara
Ninthavur 13,40A,144/1,994143,M,ampara
Ninthavur 13,40A,210/A,262654,M,ampara
Ninthavur 13,40A,224,794421,F,ampara
Ninthavur 14,39A,13,723165,M,ampara
Ninthavur 14,39A,36,757124,M,ampara
Ninthavur 14,39A,73/A,442558,M,ampara
Ninthavur 14,39A,78/A,259184,M,ampara
Ninthavur 14,39A,96/A,481558,F,ampara
Ninthavur 14,39A,109/B,964028,F,ampara
Ninthavur 14,39A,116/A,733216,M,ampara
Ninthavur 14,39A,121,5156,F,ampara
Ninthavur 14,39A,177/B,281535,M,ampara
Ninthavur 15,39B,16,607674,M,ampara
Ninthavur 15,39B,18/1,535881,M,ampara
Ninthavur 15,39B,39/2,75279,M,ampara
Ninthavur 15,39B,60,32854,M,ampara
Ninthavur 15,39B,78/1,292164,F,ampara
Ninthavur 15,39B,79/1,800994,M,ampara
Ninthavur 15,39B,115,892191,F,ampara
Ninthavur 15,39B,209/2,711482,M,ampara
Ninthavur 15,39B,211/1,35821,F,ampara
Ninthavur 16,38B,15,760136,M,ampara
Ninthavur 16,38B,38/B,273323,M,ampara
Ninthavur 16,38B,49/A/1,406561,F,ampara
Ninthavur 16,38B,89,824028,M,ampara
Ninthavur 16,38B,127,159575,F,ampara
Ninthavur 16,38B,173/A,558739,M,ampara
Ninthavur 17,38C,126/A,430072,M,ampara
Ninthavur 17,38C,164/B,807844,F,ampara
Ninthavur 17,38C,181/A,420252,F,ampara
Ninthavur 17,38C,205/A,612435,M,ampara
Ninthavur 18,37D,24/B,148409,M,ampara
Ninthavur 18,37D,36,371007,F,ampara
Ninthavur 18,37D,68,722605,M,ampara
Ninthavur 18,37D,151,960170,F,ampara
Ninthavur 20,38D,7,516332,M,ampara
Ninthavur 20,38D,10,433560,M,ampara
Ninthavur 20,38D,2-Oct,977444,F,ampara
Ninthavur 20,38D,33,967051,F,ampara
Ninthavur 20,38D,66/A,915278,M,ampara
Ninthavur 20,38D,72/D,125292,M,ampara
Ninthavur 20,38D,83,352493,F,ampara
Ninthavur 20,38D,91,409270,F,ampara
Ninthavur 20,38D,127/B,938112,M,ampara
Ninthavur 20,38D,146/B,780071,F,ampara
Ninthavur 20,37E,24/A,519678,F,ampara
Ninthavur 20,37E,73//B,488998,M,ampara
Ninthavur 20,37E,104,1568,M,ampara
Ninthavur 20,37E,117/A,398620,F,ampara
Ninthavur 21,37F,36/A,838712,M,ampara
Ninthavur 21,37F,97/A,751392,M,ampara
Ninthavur 21,37F,103,712416,M,ampara
Ninthavur 22,37G,21/1,282578,F,ampara
Ninthavur 22,37G,22/A,689950,M,ampara
Ninthavur 22,37G,24,247576,F,ampara
Ninthavur 22,37G,67/3,55723,M,ampara
Ninthavur 22,37G,84/1,620292,F,ampara
Ninthavur 22,37G,95/A,211712,M,ampara
Ninthavur 22,37G,95/B,568613,F,ampara
Ninthavur 22,37G,120/A,752405,M,ampara
Ninthavur 22,37G,120/A,884846,F,ampara
Ninthavur 22,37G,121,719164,M,ampara
Ninthavur 22,37G,134/1,233306,F,ampara
Ninthavur 22,37G,179/2,735626,F,ampara
Ninthavur 22,37G,202/1,155993,F,ampara
Ninthavur 22,37G,203,482380,F,ampara
Ninthavur 22,37G,227/8/A,541347,F,ampara
Ninthavur 22,37G,256,40048,F,ampara
Ninthavur 22,37G,520/1,741119,M,ampara
Ninthavur 10,36,84/B,207614,M,ampara
Ninthavur 10,36,100,390093,F,ampara
Ninthavur 10,36,113,224339,F,ampara
Ninthavur 10,36,186,363763,F,ampara
Ninthavur 10,36,220/5/D,760667,M,ampara
Ninthavur 10,36,263/16/D,682888,M,ampara
Ninthavur 10,36,268/18/A/1,26759,F,ampara
Ninthavur 10,36,282/22/C,809376,M,ampara
Ninthavur 10,36,383/25/B/1,40836,M,ampara
Ninthavur 23,36A,78/1,591703,M,ampara
Ninthavur 23,36A,140/C,17987,F,ampara
Ninthavur 23,36A,150/1,374259,M,ampara
Ninthavur 23,36A,160,360469,F,ampara
Ninthavur 23,36A,204/35/A,186045,M,ampara
Ninthavur 23,36A,204/45,30538,F,ampara
Ninthavur 23,36A,204/50/A,367852,M,ampara
Ninthavur 23,36A,204/55/1,757023,M,ampara
Ninthavur 23,36A,207/B,599872,M,ampara
Ninthavur 24,39C,17/3,962596,M,ampara
Ninthavur 24,39C,21/1,522193,M,ampara
Ninthavur 24,39C,69/B,308289,F,ampara
Ninthavur 24,39C,77/1,620897,M,ampara
Ninthavur 24,39C,81,8924,M,ampara
Ninthavur 25,38E,1,515818,M,ampara
Ninthavur 25,38E,99,487019,M,ampara
Ninthavur 25,38E,120,156813,M,ampara
Ninthavur 25,38E,147,899410,F,ampara
Karaitheevu 01,44,112,454620,F,ampara
Karaitheevu 01,44,152/1,301246,M,ampara
Karaitheevu 01,44,172,847399,M,ampara
Karaitheevu 01,44,227/A,249753,F,ampara
Karaitheevu 01,44,328,25733,M,ampara
Karaitheevu 02,45,48,704755,M,ampara
Karaitheevu 02,45,53/A,965799,M,ampara
Karaitheevu 02,45,131,756609,M,ampara
Karaitheevu 03,45A,63,769293,F,ampara
Karaitheevu 03,45A,116,82399,F,ampara
Karaitheevu 03,45A,164,180381,F,ampara
Karaitheevu 04,45B,104,799854,F,ampara
Karaitheevu 05,45C,25,609525,F,ampara
Karaitheevu 05,45C,78,599186,F,ampara
Karaitheevu 05,45C,120/A,390362,F,ampara
Karaitheevu 05,45C,132,720966,F,ampara
Karaitheevu 05,45C,140,853985,F,ampara
Karaitheevu 06,44D,3/A,435562,F,ampara
Karaitheevu 06,44D,55,49018,M,ampara
Karaitheevu 06,44D,85,331936,F,ampara
Karaitheevu 06,44D,146/A,942556,F,ampara
Karaitheevu 06,44D,173,848145,F,ampara
Karaitheevu 07,42,69/A,893704,M,ampara
Karaitheevu 07,42,87,972486,F,ampara
Karaitheevu 07,42,112,767973,F,ampara
Karaitheevu 07,42,214,361971,F,ampara
Karaitheevu 07,42,367,287643,M,ampara
Karaitheevu 08,42B,16,38774,F,ampara
Karaitheevu 08,42B,31/A,123505,F,ampara
Karaitheevu 08,42B,147,540013,M,ampara
Karaitheevu 08,42B,247,882901,M,ampara
Karaitheevu 08,42B,08/A,807886,M,ampara
Karaitheevu 08,42B,11/A,576169,F,ampara
Karaitheevu 08,42B,31/A,516499,F,ampara
Karaitheevu 08,42B,64/A,555292,M,ampara
Karaitheevu 08,42B,74,405507,M,ampara
Karaitheevu 08,42B,103/B,60349,F,ampara
Karaitheevu 08,42B,116,396748,M,ampara
Karaitheevu 08,42B,160/A,894023,M,ampara
Karaitheevu 09,42C,12,839654,F,ampara
Karaitheevu 09,42C,185,131490,M,ampara
Karaitheevu 10,42A,06/A,791965,F,ampara
Karaitheevu 10,42A,14,923250,F,ampara
Karaitheevu 10,42A,14,484318,M,ampara
Karaitheevu 10,42A,24,45299,M,ampara
Karaitheevu 10,42A,24,893838,M,ampara
Karaitheevu 10,42A,148,423808,F,ampara
Karaitheevu 10,42A,148/B,436058,F,ampara
Karaitheevu 11,42D,10,284578,F,ampara
Karaitheevu 11,42D,12,622402,M,ampara
Karaitheevu 11,42D,25/A,592312,F,ampara
Karaitheevu 11,42D,44,506897,F,ampara
Karaitheevu 11,42D,60/A,608247,F,ampara
Karaitheevu 11,42D,67/A,392374,M,ampara
Karaitheevu 11,42D,84,39738,M,ampara
Karaitheevu 11,42D,100/A,570089,M,ampara
Karaitheevu 11,42D,118/A,303807,M,ampara
Karaitheevu 11,42D,145/B,767101,M,ampara
Karaitheevu 11,42D,149,791888,M,ampara
Karaitheevu 11,42D,159/B,850509,F,ampara
Karaitheevu 11,42D,183,880540,M,ampara
Karaitheevu 11,42D,209,229695,M,ampara
Karaitheevu 12,42E,1,517261,M,ampara
Karaitheevu 12,42E,9,406767,F,ampara
Karaitheevu 12,42E,13,160507,M,ampara
Karaitheevu 12,42E,17/B,983857,F,ampara
Karaitheevu 12,42E,24/A,654930,M,ampara
Karaitheevu 12,42E,25,442911,M,ampara
Karaitheevu 12,42E,71/C,582000,M,ampara
Karaitheevu 12,42E,104,310462,F,ampara
Karaitheevu 12,42E,106,973224,M,ampara
Karaitheevu 12,42E,120/B,292505,M,ampara
Karaitheevu 12,42E,124/A,945874,M,ampara
Karaitheevu 12,42E,126,463116,F,ampara
Karaitheevu 12,42E,127/B,135245,F,ampara
Karaitheevu 12,42E,138,148642,M,ampara
Karaitheevu 12,42E,138/B,49631,F,ampara
Karaitheevu 12,42E,142/B,295471,F,ampara
Karaitheevu 12,42E,147,914742,F,ampara
Karaitheevu 12,42E,152/A,7794,F,ampara
Karaitheevu 12,42E,155/B,528039,F,ampara
Karaitheevu 12,42E,166/A,815036,F,ampara
Karaitheevu 12,42E,202/A,529537,F,ampara
Karaitheevu 12,42E,205/C,697071,F,ampara
Karaitheevu 12,42E,220/A,525858,M,ampara
Maligaikadu West,44A,161/A/1,723928,M,ampara
Maligaikadu West,44A,239/B,453445,M,ampara
Maligaikadu West,44A,300/B,1183,M,ampara
Maligaikadu West,44A,304,211482,M,ampara
Maligaikadu West,44A,307/1,920313,M,ampara
Maligaikadu West,44A,331/1,754941,F,ampara
Maligaikadu West,44A,351,576370,F,ampara
Maligaikadu Central,44B,203/A,171846,M,ampara
Maligaikadu Central,44B,217,691581,F,ampara
Maligaikadu Central,44B,249/5,265310,F,ampara
Maligaikadu Central,44B,382/A,813766,F,ampara
Maligaikadu Central,44B,303/1,750594,M,ampara
Maligaikadu Central,44B,308/C,652009,F,ampara
Maligaikadu Central,44B,309,566938,M,ampara
Maligaikadu Central,44B,434/B,782389,F,ampara
Maligaikadu East,44C,33/A,30087,F,ampara
Maligaikadu East,44C,48,242096,M,ampara
Maligaikadu East,44C,49/A,568679,F,ampara
Maligaikadu East,44C,58/D,978052,F,ampara
Maligaikadu East,44C,73/C,204786,M,ampara
Maligaikadu East,44C,80,558988,M,ampara
Maligaikadu East,44C,88,250766,F,ampara
Maligaikadu East,44C,144,449628,M,ampara
Maligaikadu East,44C,180,638863,M,ampara
Maligaikadu East,44C,200/B,388216,F,ampara
Maligaikadu East,44C,218,110111,F,ampara
Maligaikadu East,44C,227/A,308100,F,ampara
Maligaikadu East,44C,239/B,12517,F,ampara
Mavadipalli East,43,3,851322,F,ampara
Mavadipalli East,43,17,12246,M,ampara
Mavadipalli East,43,99,582575,M,ampara
Mavadipalli East,43,124,256103,F,ampara
Mavadipalli East,43,133,354264,M,ampara
Mavadipalli East,43,186,917403,F,ampara
Mavadipalli East,43,203,155917,M,ampara
Mavadipalli East,43,242,423104,F,ampara
Mavadipalli East,43,255/B,920342,M,ampara
Mavadipalli East,43,269/A,733543,F,ampara
Mavadipalli East,43,284,113317,M,ampara
Mavadipalli East,43,312/A,223206,F,ampara
Mavadipalli East,43,338,790977,M,ampara
Mavadipalli West,43A,18,280068,F,ampara
Mavadipalli West,43A,20,659879,M,ampara
Mavadipalli West,43A,24/A,412173,M,ampara
Mavadipalli West,43A,54,536594,F,ampara
Mavadipalli West,43A,60,323701,F,ampara
Mavadipalli West,43A,87,802093,M,ampara
Mavadipalli West,43A,93/B,245567,M,ampara
Mavadipalli West,43A,117,802757,M,ampara
Mavadipalli West,43A,118,534613,F,ampara
Mavadipalli West,43A,128/B,495423,M,ampara
Mavadipalli West,43A,139/A,474957,M,ampara
Mavadipalli West,43A,154/B,879908,M,ampara
Mavadipalli West,43A,172/A/2,612540,M,ampara
Mavadipalli West,43A,205/A,503516,M,ampara
Mavadipalli West,43A,226,807559,M,ampara
